metric;story;roi;max_corr;mean_corr;n_voxels;vox_gt_0.1;vox_gt_0.2;vox_gt_0.3
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;Ant_Supramarginal_gyrus_L.nii;0.1129559658604803;-0.00298063;292;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;Ant_Supramarginal_gyrus_R.nii;0.1129559658604803;-0.00298063;292;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_maske_des_roten_todes;PCC.nii;0.11293398866066286;-0.001712241;652;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_schwarze_katze;SMA.nii;0.1126224639468391;0.009074256;322;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;fuenf_apfelsinenkerne;Post_Supramarginal_gryus_L.nii;0.11194568766576873;-0.002195341;192;5;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;fuenf_apfelsinenkerne;Post_Supramarginal_gryus_R.nii;0.11194568766576873;-0.002195341;192;5;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_schwarze_katze;Angualr_gyrus.nii;0.11189092233391912;0.005418769;332;3;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;vmpfc(frontal_oribtal_cortex)_L.nii;0.11149141114830009;-0.001154696;731;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;mord_in_sunningdale;vmpfc(frontal_oribtal_cortex)_R.nii;0.11149141114830009;-0.001154696;731;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;der_fall_stretelli;Precuenus_cortex.nii;0.11108222587980977;-0.009512606;1413;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;koenig_pest;sup_frontal_gyrus.nii;0.11033277573457248;-0.000157158;625;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;Post_Supramarginal_gryus_L.nii;0.11025949714324462;-0.000938317;192;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;maupassant_hand;Post_Supramarginal_gryus_R.nii;0.11025949714324462;-0.000938317;192;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;fuenf_apfelsinenkerne;IFC_pars_opercularis_L.nii;0.11011876190257315;0.005167049;163;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;fuenf_apfelsinenkerne;IFC_pars_opercularis_R.nii;0.11011876190257315;0.005167049;163;2;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;ligeia;Paracingulate_gyrus.nii;0.10958709501694557;-0.007799162;809;1;0;0
context_drift_DETREND_STABILIZE0_RHO03_USE_PCA0_layer32;die_pflanzen_des_dr;Paracingulate_gyrus.nii;0.10860946617799005;0.00158647;809;2;0;0
