roi,mean_delta_beta,ci_lo_delta_beta,ci_hi_delta_beta,cohens_d_delta,mean_beta_shift_unique,ci_lo_shift,ci_hi_shift,cohens_d_shift,p_simes_unique_shift,mean_beta_drift_unique,ci_lo_drift,ci_hi_drift,cohens_d_drift,p_simes_unique_drift,p_simes_delta_beta,n_vox
27_Subcallosal_Cortex_left.nii,0.0011077212524315723,-0.003919967410116629,0.0045460024727916794,0.1394103208027435,0.0006687812092664105,-0.002318335469847361,0.0033112868347665975,0.12338743306427591,0.0008068011635800342,-0.0004389400431651617,-0.0023112633719722035,0.0027116314345794865,-0.0960220466433251,0.0016666845023428061,0.009333238836440041,290
27_Subcallosal_Cortex_right.nii,0.0013020114706267388,-0.0020437197307999273,0.0043888219360309465,0.21194106588701245,0.0001392553757541009,-0.0017559209098091777,0.00218749214676433,0.03714895492262643,0.10266077057403711,-0.001162756094872637,-0.002993774598947485,0.001485622555497795,-0.27647776265455126,0.005686066048935093,0.005387792178168239,314
28_Paracingulate_Gyrus_left.nii,0.004840627662045665,-0.0030180005184843265,0.01777007188051513,0.252595539220647,0.0005563930431721491,-0.00458147727545591,0.005627556374926616,0.05673742689480658,0.008146399612086424,-0.00428423461887351,-0.013861948347626158,0.0006804499611143635,-0.33088544417855964,0.03470195635722896,0.12541737269900588,627
28_Paracingulate_Gyrus_right.nii,0.0018344798299293095,-0.005048342935739404,0.009330309453646513,0.1318056143031735,-0.001499690613900475,-0.005667986182561325,0.001259816982905761,-0.23216730581449738,0.004746811324790208,-0.003334170443829789,-0.00994781296144194,0.0020742545309677144,-0.2874808690388997,0.001590031533564,0.0504980173349497,745
29_Cingulate_Gyrus_anterior_division_left.nii,-0.001012047243766813,-0.009147916782022533,0.01008019847935595,-0.05549450726799822,-0.0014610311548330908,-0.005584146339820017,0.0022584698941234852,-0.19479599158013422,0.2766800087786764,-0.00044898391106627615,-0.010882078544244321,0.005256587700022129,-0.030983393082075674,0.040620341396426445,0.01680875310114624,452
29_Cingulate_Gyrus_anterior_division_right.nii,-0.0008667716143284961,-0.007615225915499988,0.00812154931019328,-0.05771296934765542,-0.001074300417892138,-0.004197496449556174,0.0018790720657100896,-0.18295468144107352,0.00980156523235314,-0.00020752880356363936,-0.009270797312403522,0.004733805255694256,-0.016384818772960295,0.02929390174347626,0.028761586078852583,518
2_Insular_Cortex_left.nii,0.004188850193878792,0.0005004399216985702,0.01039127034236093,0.46413779553682644,0.002798238746175022,0.0004967755076972082,0.005763307207435462,0.5535212504354877,0.007211902940070245,-0.0013906114477037679,-0.006924821308915009,0.0012001289967926195,-0.2009584564126896,0.006550908098121719,0.02195086667233364,579
2_Insular_Cortex_right.nii,0.006652175176346905,0.0012121029556805898,0.016481460025421443,0.4854196126282741,0.004292408892289539,0.0004456129941063795,0.00756716498546067,0.6219713093748296,0.004347310176097102,-0.0023597662840573663,-0.014205962502673936,0.001175532307897417,-0.21052177717911502,0.007445585724741195,0.04881948760473473,507
30_Cingulate_Gyrus_posterior_division_left.nii,0.002845104581665265,-0.002471044592719894,0.013722906810298217,0.2013012989012695,-0.006858217089147897,-0.010303440099231596,-0.0033522473635250855,-1.0230733904432745,0.011190307820038933,-0.009703321670813161,-0.019331485837024685,-0.005302130615603612,-0.8063279247811999,0.0031701897045317675,0.03723395095153324,537
30_Cingulate_Gyrus_posterior_division_right.nii,0.0023955727197702745,-0.004074798366780441,0.00996126133733362,0.1766472604240121,-0.001157746041432133,-0.005366238054814516,0.003659343725274623,-0.13221713369088542,0.0002972788978223919,-0.003553318761202408,-0.010533921412058033,0.0012596579902192412,-0.31752812263825486,6.475998096795483e-06,0.005347974501482428,499
31_Precuneous_Cortex_left.nii,0.0038405292828848944,-0.0028754570332139595,0.011049669209938792,0.28662900678097303,-0.003192052215751018,-0.00949303180935467,0.00271178747946031,-0.2711412651789293,0.021384581899741014,-0.007032581498635922,-0.015379572789751718,-0.001130388816043505,-0.5186287599757914,0.00010733962012628204,0.010278634223245427,1174
31_Precuneous_Cortex_right.nii,0.0028732487633843532,-0.005286795095438576,0.013557093487817262,0.161806108837086,0.0001521436060226781,-0.007091983185454217,0.009332118608113997,0.009614402029112833,0.11283756142445539,-0.002721105157361672,-0.012619925602675467,0.0038724877515261833,-0.17597797868201678,0.01867861885919069,0.011273063448307662,989
32_Cuneal_Cortex_left.nii,-0.002129314258981094,-0.015871584551144836,0.018585493499957695,-0.06634539804826001,-0.01359325382496198,-0.025648970855031247,0.0029461559037933793,-0.5041327123565557,0.004056268641603118,-0.011463939565980892,-0.022890769221479788,-0.002993104252899601,-0.6092327458855932,0.02222291561742716,0.01911208300529947,182
32_Cuneal_Cortex_right.nii,-0.0021530605951754376,-0.012523739682839916,0.013615960586254434,-0.08813973989074728,-0.009464562660218782,-0.01943113520494341,0.004776523574712829,-0.4176611745245173,0.009434507067598364,-0.007311502065043344,-0.013013364845870838,-0.001470769663155749,-0.6601312179539675,0.009049376942651802,0.02608971489021003,147
33_Frontal_Orbital_Cortex_left.nii,0.0016869709637117845,-0.0023576859776721945,0.007096303830704487,0.18949666458161948,0.0025027223932745464,-0.0008173514501816024,0.00487844369806024,0.46381400966700015,0.014863073901031252,0.0008157514295627644,-0.0026262853527555235,0.003313557877385043,0.1452179475119877,7.79537087631462e-05,0.0653553653201661,826
33_Frontal_Orbital_Cortex_right.nii,0.004696389102473912,3.181665545340338e-05,0.009014209173934098,0.5474735112499044,0.004654271260668228,0.0023940338455560838,0.0076431404321513395,0.9365290688049749,0.04555230712894799,-4.211784180568532e-05,-0.0036467926064712866,0.0028282970493430756,-0.006833945919137327,0.029035785084368944,0.04787520827088579,717
34_Parahippocampal_Gyrus_anterior_division_left.nii,0.002331986432525496,-0.0005576490965055103,0.006792634706667754,0.3442136613431242,-0.0003028903410755999,-0.0019164084266840493,0.0012944053249594283,-0.0985986140656662,0.06858927228572038,-0.002634876773601096,-0.006473135993832444,-0.0008690805121400844,-0.5522510953217263,0.0015739926940922517,0.10096942075902234,578
34_Parahippocampal_Gyrus_anterior_division_right.nii,-0.0043462141345990205,-0.007979775898418057,-0.0010557270117619397,-0.6537655150994588,-0.002263902213922183,-0.003656234417935476,4.1497580255777515e-05,-0.6689959764451643,0.018407031662658765,0.0020823119206768406,-0.00041015214371908465,0.0044093296057183705,0.44775577517967996,0.02630712319176774,0.0009710002666353804,621
35_Parahippocampal_Gyrus_posterior_division_left.nii,0.0029235603002487386,-0.0024643585347503784,0.011006986257413118,0.2317564707598768,-0.0015173723272926846,-0.00450416188448286,0.0037841424666206496,-0.20678929472547378,0.027733272430102235,-0.004440932627541427,-0.011014058682784184,-0.0011583791390515456,-0.50862024902476,0.12029020635734747,0.0062167158411901065,328
35_Parahippocampal_Gyrus_posterior_division_right.nii,0.00079054663045349,-0.00626960697877919,0.008622290036706684,0.05483329686172638,-0.002763266247794466,-0.006607228830417643,0.0018161694030416951,-0.34849650645956226,0.00896698398556045,-0.0035538128782479548,-0.00946723510170128,0.0006357042120083141,-0.3717062179130829,0.0011773843301875811,0.02583596942850778,287
36_Lingual_Gyrus_left.nii,-0.0007022931093819188,-0.010702049057297928,0.01065248443389461,-0.0341692754554858,-0.005453016301984771,-0.012477784830668087,0.0038693780971828136,-0.35305777698765617,0.016996805475740173,-0.004750723192602851,-0.01299075457164834,-7.707346447481843e-05,-0.40217294956562805,0.015002119551902138,0.26767386687581174,856
36_Lingual_Gyrus_right.nii,0.00473062676798182,-0.004117287347080574,0.015497099468411499,0.2523529091457707,-0.0006628766137975802,-0.006624503065466196,0.00802139813696386,-0.04877394251469783,0.00010576654652716116,-0.005393503381779407,-0.015025887501725819,-0.0006349182546923728,-0.42519886977756777,0.009532301461823796,0.0016405306693941149,827
37_Temporal_Fusiform_Cortex_anterior_division_left.nii,-9.9313555921435e-05,-0.002726636724673975,0.002666311584738363,-0.01943162649163432,-0.0017971590927040348,-0.004258872108870054,0.0009725749765504872,-0.36027688072758124,0.06256963750671744,-0.0016978455367825996,-0.0031890181870541027,-0.0001589922244324344,-0.5742570969463839,0.009465243897637197,0.16459428586873215,178
37_Temporal_Fusiform_Cortex_anterior_division_right.nii,-0.004410291165544513,-0.007331218922437867,-0.0016438624784286737,-0.8038308426225306,-0.0023815429640972534,-0.004185623596177571,-0.00019088342651734112,-0.621387404296405,0.04053092417463205,0.0020287482014472594,-0.00011699049664028085,0.003877766132292575,0.5309364250730433,0.024693854108399523,0.0336313356757091,157
