roi,story,delta_beta,beta_shift_unique,beta_drift_unique
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,das_manuskript_in_der_flasche,0.007731211751115662,0.003640561967696425,-0.004090649783419234
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,der_blaue_karfunkel,0.004261741943849295,-0.0001558686665730736,-0.004417610610422367
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,der_fall_stretelli,-8.374949622346381e-06,-0.00700682153976233,-0.006998446590139985
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,der_katechismus_der_familie_musgrave,0.007063351627285421,0.005669993209809742,-0.00139335841747568
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,die_maske_des_roten_todes,0.007627269474160729,0.0015939854161775761,-0.006033284057983154
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,die_pflanzen_des_dr,0.00928072998424477,0.0031186249287657977,-0.00616210505547897
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,die_schwarze_katze,0.00752041785263326,0.0056233935691579065,-0.0018970242834753506
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,fuenf_apfelsinenkerne,0.000588837184650232,-0.0019851268185012644,-0.0025739640031514936
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,koenig_pest,0.0016082387172631218,0.0034134845743611594,0.0018052458570980393
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,lebendig_begraben,0.009292689908855121,0.0016284491928782489,-0.00766424071597687
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,ligeia,0.010157311435606576,0.00714408498599815,-0.003013226449608424
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,maupassant_hand,0.0013858090377381973,-0.0037965466032560654,-0.005182355640994264
14_Inferior_Temporal_Gyrus_anterior_division_left.nii,mord_in_sunningdale,0.010350449412487287,0.006363969709434729,-0.003986479703052553
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,das_manuskript_in_der_flasche,-0.017722879848663643,-0.011531626760216419,0.006191253088447227
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,der_blaue_karfunkel,0.0014350408424979814,2.5244008073088887e-05,-0.001409796834424892
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,der_fall_stretelli,0.0009661318662175245,0.0020352844581820683,0.001069152591964543
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,der_katechismus_der_familie_musgrave,0.0066304227432656595,0.006174221413098166,-0.0004562013301674906
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,die_maske_des_roten_todes,0.006967724162709978,0.0029562244087181144,-0.0040114997539918654
14_Inferior_Temporal_Gyrus_anterior_division_right.nii,die_pflanzen_des_dr,-0.017716177548289545,-0.003250965753037297,0.014465211795252243
